============================================================
Training run 2 started at 2026-05-09 11:15:39
============================================================
Using device: cuda
GPU: Tesla T4
Game: Qbert
Number of actions: 6
Hyperparameters:
  learning_rate: 0.0001
  gamma: 0.99
  buffer_size: 500000
  batch_size: 32
  epsilon_start: 1.0
  epsilon_end: 0.1
  epsilon_decay_steps: 1000000
  total_steps: 2500000
  eval_freq: 10000
  eval_episodes: 5
Collecting fixed states for Q-value tracking...
Collected 1000 fixed states

Starting training run 2...
Total steps: 2500000 (starting from 1)
Evaluation every 10000 steps
--------------------------------------------------
Step  750000 | Eval Reward:    75.00 | Avg Max Q:   5.37 | Loss:   0.1026 | Epsilon: 0.325 | Buffer:  500000 | Train Eps:  21 | Train R:  394.05 | 116.7 steps/s
Step  760000 | Eval Reward:   450.00 | Avg Max Q:   4.59 | Loss:   0.1005 | Epsilon: 0.316 | Buffer:  500000 | Train Eps:  25 | Train R:  336.00 | 114.6 steps/s
Step  770000 | Eval Reward:   650.00 | Avg Max Q:   4.08 | Loss:   0.0994 | Epsilon: 0.307 | Buffer:  500000 | Train Eps:  22 | Train R:  425.00 | 113.2 steps/s
Step  780000 | Eval Reward:   650.00 | Avg Max Q:   4.12 | Loss:   0.0994 | Epsilon: 0.298 | Buffer:  500000 | Train Eps:  22 | Train R:  377.27 | 113.6 steps/s
Step  790000 | Eval Reward:   675.00 | Avg Max Q:   4.58 | Loss:   0.0916 | Epsilon: 0.289 | Buffer:  500000 | Train Eps:  20 | Train R:  388.75 | 111.7 steps/s
Step  800000 | Eval Reward:   150.00 | Avg Max Q:   5.30 | Loss:   0.0922 | Epsilon: 0.280 | Buffer:  500000 | Train Eps:  23 | Train R:  327.17 | 114.6 steps/s
Step  810000 | Eval Reward:   625.00 | Avg Max Q:   4.69 | Loss:   0.0932 | Epsilon: 0.271 | Buffer:  500000 | Train Eps:  21 | Train R:  455.95 | 114.3 steps/s
Step  820000 | Eval Reward:   325.00 | Avg Max Q:   5.79 | Loss:   0.0958 | Epsilon: 0.262 | Buffer:  500000 | Train Eps:  22 | Train R:  378.41 | 113.2 steps/s
Step  830000 | Eval Reward:   600.00 | Avg Max Q:   3.92 | Loss:   0.0932 | Epsilon: 0.253 | Buffer:  500000 | Train Eps:  21 | Train R:  419.05 | 114.9 steps/s
Step  840000 | Eval Reward:   300.00 | Avg Max Q:   5.04 | Loss:   0.0923 | Epsilon: 0.244 | Buffer:  500000 | Train Eps:  21 | Train R:  464.29 | 115.3 steps/s
Step  850000 | Eval Reward:    50.00 | Avg Max Q:   5.35 | Loss:   0.0935 | Epsilon: 0.235 | Buffer:  500000 | Train Eps:  22 | Train R:  367.05 | 114.2 steps/s
Step  860000 | Eval Reward:   200.00 | Avg Max Q:   4.81 | Loss:   0.0948 | Epsilon: 0.226 | Buffer:  500000 | Train Eps:  22 | Train R:  430.68 | 115.3 steps/s
Step  870000 | Eval Reward:   750.00 | Avg Max Q:   4.47 | Loss:   0.0924 | Epsilon: 0.217 | Buffer:  500000 | Train Eps:  22 | Train R:  387.50 | 109.6 steps/s
Step  880000 | Eval Reward:   375.00 | Avg Max Q:   3.73 | Loss:   0.0898 | Epsilon: 0.208 | Buffer:  500000 | Train Eps:  22 | Train R:  373.86 | 113.5 steps/s
Step  890000 | Eval Reward:     0.00 | Avg Max Q:   4.88 | Loss:   0.0889 | Epsilon: 0.199 | Buffer:  500000 | Train Eps:  20 | Train R:  453.75 | 115.4 steps/s
Step  900000 | Eval Reward:   450.00 | Avg Max Q:   4.54 | Loss:   0.0915 | Epsilon: 0.190 | Buffer:  500000 | Train Eps:  19 | Train R:  446.05 | 113.2 steps/s
Step  910000 | Eval Reward:   725.00 | Avg Max Q:   4.04 | Loss:   0.0904 | Epsilon: 0.181 | Buffer:  500000 | Train Eps:  22 | Train R:  431.82 | 112.3 steps/s
Step  920000 | Eval Reward:     0.00 | Avg Max Q:   4.41 | Loss:   0.0881 | Epsilon: 0.172 | Buffer:  500000 | Train Eps:  20 | Train R:  393.75 | 115.7 steps/s
Step  930000 | Eval Reward:   375.00 | Avg Max Q:   3.92 | Loss:   0.0908 | Epsilon: 0.163 | Buffer:  500000 | Train Eps:  21 | Train R:  545.24 | 113.0 steps/s
Step  940000 | Eval Reward:   500.00 | Avg Max Q:   5.62 | Loss:   0.0915 | Epsilon: 0.154 | Buffer:  500000 | Train Eps:  21 | Train R:  395.24 | 111.6 steps/s
Step  950000 | Eval Reward:   325.00 | Avg Max Q:   6.13 | Loss:   0.0927 | Epsilon: 0.145 | Buffer:  500000 | Train Eps:  19 | Train R:  569.74 | 114.1 steps/s
Step  960000 | Eval Reward:   425.00 | Avg Max Q:   4.62 | Loss:   0.0940 | Epsilon: 0.136 | Buffer:  500000 | Train Eps:  19 | Train R:  496.05 | 113.6 steps/s
Step  970000 | Eval Reward:   575.00 | Avg Max Q:   3.52 | Loss:   0.0893 | Epsilon: 0.127 | Buffer:  500000 | Train Eps:  18 | Train R:  450.00 | 113.4 steps/s
Step  980000 | Eval Reward:   525.00 | Avg Max Q:   4.63 | Loss:   0.0898 | Epsilon: 0.118 | Buffer:  500000 | Train Eps:  19 | Train R:  503.95 | 115.3 steps/s
Step  990000 | Eval Reward:   325.00 | Avg Max Q:   4.57 | Loss:   0.0899 | Epsilon: 0.109 | Buffer:  500000 | Train Eps:  17 | Train R:  523.53 | 115.0 steps/s
Step 1000000 | Eval Reward:   125.00 | Avg Max Q:   6.45 | Loss:   0.0884 | Epsilon: 0.100 | Buffer:  500000 | Train Eps:  17 | Train R:  526.47 | 113.8 steps/s
Step 1010000 | Eval Reward:   425.00 | Avg Max Q:   4.55 | Loss:   0.0881 | Epsilon: 0.100 | Buffer:  500000 | Train Eps:  15 | Train R:  573.33 | 113.0 steps/s
Step 1020000 | Eval Reward:   800.00 | Avg Max Q:   5.22 | Loss:   0.0859 | Epsilon: 0.100 | Buffer:  500000 | Train Eps:  17 | Train R:  533.82 | 113.1 steps/s
Step 1030000 | Eval Reward:   725.00 | Avg Max Q:   5.03 | Loss:   0.0895 | Epsilon: 0.100 | Buffer:  500000 | Train Eps:  18 | Train R:  588.89 | 109.5 steps/s
Step 1040000 | Eval Reward:   550.00 | Avg Max Q:   6.04 | Loss:   0.0860 | Epsilon: 0.100 | Buffer:  500000 | Train Eps:  17 | Train R:  525.00 | 110.6 steps/s
